Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software,_source_file,_source_index
IT Project Manager,Project Manager,GRUPO CASFID,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Project Management; Scrum; Kanban; Stakeholder Management; Communication; Problem Solving; Analytical Thinking; Leadership; Agile; Software Development,Engineering,Jira; Confluence; SQL,20250822_103348_DataPM_result_batch_2.csv,0
¡Buscamos Project Manager de Marketplaces!,Account Manager,Sidi Global Market S.L.,Spain,Valencian Community,Alacuás,Unknown,3-5,Mid,Stakeholder Management; Communication; Reporting & Dashboards; Data Analysis,,Excel,20250822_103348_DataPM_result_batch_2.csv,1
Project Manager,Project Manager,ISTOBAL S.A.,Spain,Valencian Community,L'Alcúdia,Unknown,0-3,Unknown,Project Management; Agile; Scrum; Kanban; Risk Management; Stakeholder Management; Cross-functional Collaboration; Process Optimization,Engineering; Master's Degree,Jira; Microsoft Office,20250822_103348_DataPM_result_batch_2.csv,2
Project Manager,Project Manager,Unknown,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Project Management; Communication; Problem Solving; Technical Writing; Training,Engineering,,20250822_103348_DataPM_result_batch_2.csv,3
RESPONSABLE PROYECTOS I+D+I,Project Manager,Importaco,Spain,Valencian Community,Beniparrell,Unknown,3-5,Unknown,Project Management; Stakeholder Management; Cross-functional Collaboration,Engineering; Other; PhD,,20250822_103348_DataPM_result_batch_2.csv,4
Development Manager,Project Manager,31st Union,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Project Management; Stakeholder Management; Cross-functional Collaboration; Risk Management; Communication; Problem Solving; Team Management; Mentoring; Leadership; Project Management (advanced),,Jira; Confluence,20250822_103348_DataPM_result_batch_2.csv,5
Gestor/a de Proyectos de obra Interno,Project Manager,Claire Joster,Spain,Valencian Community,Petrel,Full-time,5+,Unknown,Project Management; Stakeholder Management; Negotiation,Engineering; Higher Education,,20250822_103348_DataPM_result_batch_2.csv,6
Project Manager de Visión artificial e inteligencia artificial,Project Manager,AINIA,Spain,Valencian Community,Paterna,Full-time,3-5,Manager,Project Management; Agile; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking,Bachelor's Degree; Master's Degree; Engineering,Python; C++; Figma; Jira; Confluence,20250822_103348_DataPM_result_batch_2.csv,7
Ingeniero/a de Soporte a Gestión de Proyecto - Sector Calderería Industrial (Valencia) (ç),Project Manager,BETWEEN,Spain,Valencia,Paterna,Full-time,3-5,Mid,Project Management; Stakeholder Management; Communication; Problem Solving,Engineering,Excel; Word,20250822_103348_DataPM_result_batch_2.csv,8
Ingeniero de proyecto,Project Manager,García Carrión,Spain,Valencian Community,Segorbe,Unknown,3-5,Unknown,Project Management,Engineering,,20250822_103348_DataPM_result_batch_2.csv,9
Proyect Manager,Project Manager,Grupo Elecnor,Spain,Comunidad Valenciana,Castellón,Full-time,3-5,Unknown,Project Management; Stakeholder Management; Leadership,Engineering,,20250822_103348_DataPM_result_batch_3.csv,0
Project Manager - Product Improvements,Project Manager,Sonova,Spain,Valencian Community,Alicante,Unknown,3-5,Manager,Project Management; Change Management; Process Optimization; Communication; Problem Solving; Team Management; Cross-functional Collaboration; Stakeholder Management,Engineering,Microsoft Teams,20250822_103348_DataPM_result_batch_3.csv,1
Software Project Manager,Project Manager,Preference,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Project Management; Stakeholder Management; Communication; Problem Solving; Process Optimization,Engineering; Higher Education,Jira; Excel,20250822_103348_DataPM_result_batch_3.csv,2
Buscamos: Creativo/A 360O Project Manager,Project Manager,Unknown,Spain,Valencian Community,Alicante,Full-time,Unknown,Manager,Stakeholder Management; Executive Communication; Cross-functional Collaboration,,Photoshop; Premiere Pro; After Effects; Canva; Notion; Google Analytics,20250822_103348_DataPM_result_batch_3.csv,3
Development Manager,Project Manager,31st Union,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Project Management; Stakeholder Management; Cross-functional Collaboration; Communication; Risk Management; Problem Solving; Leadership; Team Management,,Jira; Confluence,20250822_103348_DataPM_result_batch_3.csv,4
RESPONSABLE PROYECTOS I+D+I,Project Manager,Importaco,Spain,Valencian Community,Beniparrell,Unknown,3-5,Unknown,Project Management; Stakeholder Management; Communication; Process Optimization; Analytical Thinking; Regulatory Compliance,Engineering; PhD,Excel; PowerPoint; Word; Outlook; Google Workspace,20250822_103348_DataPM_result_batch_3.csv,5
Scrum Master,Project Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Agile; Scrum; Kanban; Project Management; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Facilitation,,Jira; Trello,20250822_103348_DataPM_result_batch_3.csv,6
New Product Introduction (NPI) Senior Expert,Project Manager,PowerCo,Spain,Valencian Community,Valencia,Full-time,5+,Unknown,Project Management; Stakeholder Management; Cross-functional Collaboration; Process Optimization; Problem Solving; Critical Thinking; Analytical Thinking; Leadership; Team Management; Mentoring; Communication; Risk Management; Technical Writing; Quality Assurance; Statistical Analysis; Data Analysis,Master's Degree; Engineering; Automotive Engineering; Chemical Engineering; Mechanical Engineering,,20250822_103348_DataPM_result_batch_3.csv,7
Consultor/a / PM Dynamics BC,Project Manager,Q-tech,Spain,Unknown,Unknown,Unknown,5+,Senior,Stakeholder Management; Cross-functional Collaboration; Project Management,,Microsoft Office,20250822_103348_DataPM_result_batch_3.csv,8
LLP - TMS of Tomorrow Project - Quality Manager,Quality Analyst,Unknown,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Project Management; Change Management; Agile; Waterfall; Lean; Six Sigma; Stakeholder Management; Communication; Process Optimization; Supply Chain Management; Risk Management; Auditing; Regulatory Compliance; Quality Assurance; Quality Control,Higher Education; Engineering,Excel; PowerPoint; Word,20250822_103348_DataPM_result_batch_3.csv,9
Project Manager - Promotora Inmobiliaria,Project Manager,WeHunt,Spain,Valencian Community,Alicante,Unknown,5+,Manager,Project Management; Stakeholder Management; Negotiation; Leadership,Engineering,Microsoft Office,20250822_103348_DataPM_result_batch_4.csv,0
Change manager,Unknown,NTT DATA,Spain,Valencian Community,Alicante,Unknown,Unknown,Unknown,Change Management; Stakeholder Management; Communication; Process Optimization,,,20250822_103348_DataPM_result_batch_4.csv,1
Internship - Program Management 1 1,Project Manager,Celestica Valencia S.A.,Spain,Valencian Community,Valencia,Internship,0-3,Intern,Project Management; Communication; Problem Solving,,Excel; PowerPoint; Word,20250822_103348_DataPM_result_batch_4.csv,2
Project Manager,Project Manager,Vortex,Spain,Valencian Community,Silla,Full-time,3-5,Mid,Project Management; Communication; Problem Solving; Time Management; Training,Engineering,,20250822_103348_DataPM_result_batch_4.csv,3
CX Operations & Automation Project Manager,Project Manager,Groupon,Spain,Valencian Community,Madrid,Unknown,5+,Manager,Project Management; Agile; Scrum; Stakeholder Management; Cross-functional Collaboration; Data Analysis; Process Optimization; Problem Solving,Bachelor's Degree; Engineering,Excel; Tableau; Salesforce; Asana; Google Analytics,20250822_103348_DataPM_result_batch_4.csv,4
Coordinador/a Lider técnico/a de proyectos IT/Software,Project Manager,Inetum Valencia,Spain,Valencian Community,Valencia,Unknown,5+,Senior,Project Management; Leadership; Stakeholder Management; Communication,,,20250822_103348_DataPM_result_batch_4.csv,5
Senior SAP QM/PM Consultant,Consultant,Westernacher Consulting,Spain,Valencian Community,Valencia,Full-time,5+,Senior,Project Management; Stakeholder Management; Communication; Cross-functional Collaboration; Quality Assurance,,,20250822_103348_DataPM_result_batch_4.csv,6
Project Manager – Client integrations,Implementation / Onboarding Manager,Apex Group,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Project Management; Stakeholder Management; Communication; Regulatory Compliance,Bachelor's Degree,,20250822_103348_DataPM_result_batch_4.csv,7
Operational Excellence Manager - 1014784576,Operations Manager,Leadtech,Spain,Catalunya,Barcelona,Full-time,5+,Manager,Agile; Lean; Six Sigma; Project Management; Cross-functional Collaboration; Stakeholder Management; Communication; Analytical Thinking; Problem Solving; Risk Management; Process Optimization; KPI Definition; Data Analysis,Bachelor's Degree; Engineering; Business Administration; Computer Science,Jira; Confluence,20250822_103348_DataPM_result_batch_4.csv,8
Project Key Account Manager -Eastern Spain,Account Manager,GROHE,Spain,Valencian Community,Unknown,Unknown,5+,Unknown,Strategic Thinking; Stakeholder Management,Engineering; Other,Salesforce; Google Workspace,20250822_103348_DataPM_result_batch_4.csv,9
EU Project Manager,Assistant,Incubadora CON VALORES,Spain,Valencia,Valencia,Full-time,3-5,Unknown,Project Management; Cross-functional Collaboration,,Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace,20250822_103348_DataPM_result_batch_5.csv,0
Chargé de projet,Project Manager,Avantis Coopérative,Canada,Québec,Sainte-Marie,Full-time,3-5,Mid,Project Management; Stakeholder Management; Cross-functional Collaboration; Communication,Higher Education,,20250822_103348_DataPM_result_batch_5.csv,1
Logistic Automation Project Manager,Operations Manager,Power Electronics,Spain,Valencian Community,Valencia,Unknown,5+,Unknown,Project Management; Process Optimization; Logistics; Stakeholder Management; Training; Mentoring; Leadership; Team Management,Engineering,Microsoft Office; Excel; PowerPoint; Word,20250822_103348_DataPM_result_batch_5.csv,2
Salesforce Project Manager,Project Manager,Omega CRM,Spain,Valencian Community,Alicante,Full-time,5+,Manager,Project Management; Agile; Scrum; Stakeholder Management; Cross-functional Collaboration,,Jira; Salesforce,20250822_103348_DataPM_result_batch_5.csv,3
PROJECT MANAGER SALESFORCE,Project Manager,Aquaservice,Spain,Valencia,Paterna,Full-time,5+,Manager,Project Management; Stakeholder Management; Communication; Problem Solving,,Salesforce,20250822_103348_DataPM_result_batch_5.csv,4
PROJECT MANAGER PARA SERVICIO DE MANTENIMIENTO EN CA9O (VALENCIA),Project Manager,Germania,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Project Management; Stakeholder Management; Cross-functional Collaboration; Regulatory Compliance; Leadership; Team Management,Engineering,,20250822_103348_DataPM_result_batch_5.csv,5
PROJECT MANAGER SAT,Technical Support Engineer,Unknown,Spain,Valencian Community,Museros,Full-time,5+,Lead,Communication; Technical Writing,Engineering; Higher Education,,20250822_103348_DataPM_result_batch_5.csv,6
Service Delivery Manager,Operations Manager,Omada,Spain,Valencian Community,Alicante,Full-time,5+,Manager,Stakeholder Management; Communication; Problem Solving; Process Optimization; Information Security; Change Management; Leadership,,Microsoft Office,20250822_103348_DataPM_result_batch_5.csv,7
Projects & BIM Manager,Project Manager,Brandty,Spain,Valencian Community,Guardamar del Segura,Full-time,5+,Manager,Project Management; Stakeholder Management; Regulatory Compliance; Risk Management,Bachelor's Degree; Master's Degree; Engineering,Microsoft Office; Excel; PowerPoint; Word; Outlook,20250822_103348_DataPM_result_batch_5.csv,8
PM/SDM comunicaciones (Alicante),Project Manager,Métrica,Spain,Valencian Community,Sabadell,Unknown,5+,Manager,Project Management,,,20250822_103348_DataPM_result_batch_5.csv,9
Product Manager,Product Manager,Avantio,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Product Development; Product Strategy; Product Roadmapping; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Communication; Problem Solving; KPI Definition; Metrics Design; Product Analytics; Product-led Growth (PLG); Growth Hacking; Business Acumen; Strategic Thinking; Leadership; Project Management; Agile,,Jira; Confluence; Figma; SQL; Productboard; ProductPlan,20250822_143048_DataPM_result_batch_1.csv,0
Product Manager,Product Manager,Cecotec,Spain,Valencian Community,Valencia,Unknown,3-5,Lead,Market Research; Product Development; Stakeholder Management,Bachelor's Degree,Excel,20250822_143048_DataPM_result_batch_1.csv,1
OPERATIONAL PRODUCT MANAGER H/M (46),Operations Manager,Unknown,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Negotiation; Regulatory Compliance; Supply Chain Management; Logistics,Master's Degree; Higher Education,Microsoft Office; Excel; Word; Outlook; PowerPoint,20250822_143048_DataPM_result_batch_1.csv,2
CATEGORY/PRODUCT MANAGER,Product Manager,Sp-Berner,Spain,Valencian Community,Aldaya,Unknown,3-5,Manager,Market Research; Stakeholder Management; Cross-functional Collaboration; Analytical Thinking; Strategic Thinking; Communication; Leadership,Higher Education,Excel; PowerPoint; Microsoft Office,20250822_143048_DataPM_result_batch_1.csv,3
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Market Research; Competitive Analysis; Cross-functional Collaboration; Stakeholder Management; Problem Solving,,,20250822_143048_DataPM_result_batch_1.csv,4
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Market Research; Competitive Analysis; Data Analysis; Problem Solving; Cross-functional Collaboration; Stakeholder Management,,,20250822_143048_DataPM_result_batch_1.csv,5
JOIN OUR PRODUCT MANAGEMENT TEAM!,Product Manager,SanLucar,Spain,Valencian Community,Puzol,Full-time,3-5,Unknown,Product Strategy; Market Research; Competitive Analysis; Negotiation; Supply Chain Management; Logistics,Higher Education,,20250822_143048_DataPM_result_batch_1.csv,6
Product Manager - TOS UI,Product Manager,Kaleris,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Development; Requirements Gathering; Stakeholder Management; Cross-functional Collaboration; Technical Specification; Quality Assurance,,,20250822_143048_DataPM_result_batch_1.csv,7
New Product Introduction (NPI) Expert,Project Manager,PowerCo,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Project Management; Cross-functional Collaboration; Stakeholder Management; Risk Management; Process Optimization; Technical Writing,Master's Degree; Engineering,Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace,20250822_143048_DataPM_result_batch_1.csv,8
ESG Associate Product Manager,Product Analyst,Apex Group,Spain,Valencian Community,Valencia,Unknown,0-3,Mid,Product Strategy; Product Development; Market Research; Competitive Analysis; User Research; Wireframing; Agile; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking; Problem Solving; Time Management; Organization; Product Analytics; Software Development; User Interviews; Usability Testing; Product Roadmapping,Bachelor's Degree; Master's Degree; Engineering,Jira; Confluence; Figma; Excel; Microsoft Office; Adobe XD; Tableau,20250822_143048_DataPM_result_batch_1.csv,9
Administrativo/a en calidad de producto,Quality Analyst,ALE-HOP,Spain,Valencian Community,Oliva,Full-time,0-3,Unknown,Regulatory Compliance,Bachelor's Degree,Microsoft Office,20250822_143048_DataPM_result_batch_2.csv,0
ESG Product Manager,Product Manager,Apex Group,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Agile; User Research; UI/UX Design,Bachelor's Degree; Master's Degree; Engineering,Google Analytics; Jira; Figma; Adobe XD; Confluence,20250822_143048_DataPM_result_batch_2.csv,1
Sr Product Manager,Product Manager,EFI,Spain,Valencian Community,Castellón de la Plana,Unknown,5+,Senior,Product Lifecycle Management; Product Strategy; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Strategic Thinking; Analytical Thinking; Business Acumen; Leadership; Team Management; Communication; Problem Solving; Pricing Strategy; Go-to-Market (GTM),Bachelor's Degree,,20250822_143048_DataPM_result_batch_2.csv,2
ESG Associate Product Specialist,Product Manager,Apex Group,Spain,Valencian Community,Valencia,Unknown,3-5,Mid,Project Management; Stakeholder Management; Market Research; Competitive Analysis; Product Development; Product Lifecycle Management; Business Acumen; Analytical Thinking; Problem Solving; Communication; Time Management; Organization,Bachelor's Degree; Master's Degree,Azure; Power BI,20250822_143048_DataPM_result_batch_2.csv,3
PRODUCT PLANNER,Product Manager,SanLucar,Spain,Valencian Community,Puzol,Unknown,3-5,Unknown,Stakeholder Management; Communication; Problem Solving; Analytical Thinking; Process Optimization,Bachelor's Degree,Excel,20250822_143048_DataPM_result_batch_2.csv,4
Crypto Product manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Market Research; Competitive Analysis; Cross-functional Collaboration; Stakeholder Management; Data Analysis,,,20250822_143048_DataPM_result_batch_2.csv,5
Product & Quality Assurance Manager – Sector Espacio y Defensa,Quality Analyst,Unknown,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Quality Assurance; Regulatory Compliance; Risk Management,Engineering; Other,,20250822_143048_DataPM_result_batch_2.csv,6
Brands Product Manager Team lead,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Team Management; Leadership; Executive Communication; Communication; Strategic Thinking; Analytical Thinking; Problem Solving; Quality Assurance; Process Optimization; Regulatory Compliance,,Jira; Confluence; Figma; Sketch; Adobe XD; Microsoft Office,20250822_143048_DataPM_result_batch_2.csv,7
Senior Product Manager - Omnia,Product Manager,Confluence,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Development; Stakeholder Management; Cross-functional Collaboration; Change Management; Communication; Analytical Thinking; Critical Thinking; Problem Solving; Process Optimization; Regulatory Compliance,Bachelor's Degree; Engineering,Jira; Salesforce; Confluence,20250822_143048_DataPM_result_batch_2.csv,8
Senior Product Manager - native Enterprise AI,Product Manager,Maisa,Spain,Valencian Community,Valencia,Full-time,5+,Senior,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Product-led Growth (PLG); Stakeholder Management; Cross-functional Collaboration; Executive Communication; Product Lifecycle Management; Roadmap Prioritization; OKRs; KPI Definition; Metrics Design; Performance Measurement; Roadmap Communication; Roadmap tradeoff communication; Launch post-mortems and learnings,,,20250822_143048_DataPM_result_batch_2.csv,9
"Senior Product Manager (Payments Platform, Disbursements)",Product Manager,Flywire,Spain,Valencian Community,Valencia,Full-time,5+,Senior,Product Development; Product Roadmapping; Stakeholder Management; Cross-functional Collaboration; Technical Specification; Communication; Problem Solving,,Jira; Confluence; SQL; Slack; Microsoft Teams; Zoom; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace,20250822_143048_DataPM_result_batch_3.csv,0
Product Manager,Product Manager,Avantio,Spain,Valencian Community,Valencia,Full-time,3-5,Manager,Product Development; Product Roadmapping; Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Market Research; Competitive Analysis; KPI Definition; Metrics Design,,Jira; Confluence,20250822_143048_DataPM_result_batch_3.csv,1
Product Manager,Product Manager,Cecotec,Spain,Valencian Community,Valencia,Full-time,3-5,Unknown,Product Development; Market Research; Business Acumen; Stakeholder Management,Bachelor's Degree,Excel,20250822_143048_DataPM_result_batch_3.csv,2
OPERATIONAL PRODUCT MANAGER H/M (46),Operations Manager,Unknown,Spain,Valencian Community,Valencia,Unknown,5+,Manager,Stakeholder Management; Regulatory Compliance; Process Optimization; Supply Chain Management; Logistics; Negotiation,Master's Degree; Higher Education,Microsoft Office; Excel; Word; Outlook,20250822_143048_DataPM_result_batch_3.csv,3
CATEGORY/PRODUCT MANAGER,Product Manager,Sp-Berner,Spain,Valencian Community,Aldaya,Unknown,3-5,Manager,Market Research; Brand Design; Stakeholder Management; Communication; Leadership; Cross-functional Collaboration; Analytical Thinking; Strategic Thinking,Higher Education; Other,Excel; PowerPoint,20250822_143048_DataPM_result_batch_3.csv,4
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Problem Solving; Analytical Thinking,,,20250822_143048_DataPM_result_batch_3.csv,5
Product Manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Product Development; Product Roadmapping; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Product Analytics; Data Analysis; Problem Solving; Technical Writing,,SQL; DataRobot,20250822_143048_DataPM_result_batch_3.csv,6
JOIN OUR PRODUCT MANAGEMENT TEAM!,Product Manager,SanLucarian,Spain,Valencian Community,Puzol,Full-time,0-3,Unknown,Market Research; Competitive Analysis; Negotiation; Communication; Stakeholder Management,Engineering; Bachelor's Degree,,20250822_143048_DataPM_result_batch_3.csv,7
Product Manager - TOS UI,Product Manager,Navis,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Product Development; Product Analytics; Product Roadmapping; User Stories; Feature Prioritization,,Jira; Confluence,20250822_143048_DataPM_result_batch_3.csv,8
New Product Introduction (NPI) Expert,Process Analyst,PowerCo Spain,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Process Optimization; Regulatory Compliance; Quality Assurance; Quality Control; Data Analysis,Master's Degree; Engineering,,20250822_143048_DataPM_result_batch_3.csv,9
ESG Associate Product Manager,Product Analyst,Apex Group,Spain,Valencian Community,Valencia,Full-time,0-3,Mid,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; User Research; UI/UX Design; Agile; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Product Lifecycle Management; A/B Testing; Data Analysis; Data Visualization; Usability Testing; KPI Definition,Bachelor's Degree; Master's Degree; Engineering,Jira; Figma; Slack; Microsoft Teams; Zoom; Google Meet; Miro; Mural; Whimsical; Lucidchart; Jamboard; FigJam; MS Whiteboard; Dropbox; Google Drive; OneDrive; Box; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace; Notion; Confluence; Tableau; Power BI; Looker; Mode; Metabase; Redash; Superset,20250822_143048_DataPM_result_batch_4.csv,0
Administrativo/a en calidad de producto,Quality Analyst,ALE-HOP,Spain,Valencian Community,Oliva,Full-time,3-5,Unknown,Regulatory Compliance; Quality Assurance,Bachelor's Degree,Microsoft Office,20250822_143048_DataPM_result_batch_4.csv,1
ESG Product Manager,Product Manager,Apex Group,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Agile; User Research; Wireframing; UI/UX Design; Product Lifecycle Management; Product Launch; Launch Planning; Experimentation; Product Ops support tasks; Technical Writing,Bachelor's Degree; Master's Degree; Engineering,SQL; Tableau; Power BI; Google Analytics; Looker; Figma; Sketch; Adobe XD; Jira; Confluence; Trello; Asana; Monday.com; Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace,20250822_143048_DataPM_result_batch_4.csv,2
Sr Product Manager,Product Manager,EFI,Spain,Valencian Community,Castellón de la Plana,Unknown,5+,Senior,Product Development; Product Launch; Product Strategy; Market Research; Competitive Analysis; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Pricing Strategy; Business Model Design; Financial Analysis; Technical Writing; Communication; Problem Solving; Leadership,Bachelor's Degree,,20250822_143048_DataPM_result_batch_4.csv,3
ESG Associate Product Specialist,Product Manager,Apex Group,Spain,Valencian Community,Valencia,Full-time,3-5,Mid,Project Management; Product Development; Market Research; Competitive Analysis; Stakeholder Management; Communication; Problem Solving; Analytical Thinking; Data Analysis; Data Visualization,Bachelor's Degree; Master's Degree,SQL,20250822_143048_DataPM_result_batch_4.csv,4
PRODUCT PLANNER,Product Manager,SanLucar,Spain,Valencian Community,Puzol,Full-time,3-5,Unknown,Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking; Problem Solving; Process Optimization,Bachelor's Degree,Excel,20250822_143048_DataPM_result_batch_4.csv,5
Crypto Product manager,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,0-3,Unknown,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Problem Solving; Analytical Thinking,,,20250822_143048_DataPM_result_batch_4.csv,6
Product & Quality Assurance Manager – Sector Espacio y Defensa,Quality Assurance Specialist,Unknown,European Union,Unknown,Unknown,Unknown,5+,Manager,Quality Assurance; Regulatory Compliance; Risk Management; Software Development,Engineering; Other,Microsoft Office,20250822_143048_DataPM_result_batch_4.csv,7
Brands Product Manager Team lead,Product Manager,BrainRocket,Spain,Valencian Community,Valencia,Full-time,5+,Lead,Project Management; Stakeholder Management; Cross-functional Collaboration; Communication; Team Management; Strategic Thinking; Leadership; Regulatory Compliance,,Jira; Confluence; Figma,20250822_143048_DataPM_result_batch_4.csv,8
Senior Product Manager - Omnia,Product Manager,Confluence,Spain,Valencian Community,Valencia,Full-time,5+,Manager,Stakeholder Management; Cross-functional Collaboration; Regulatory Compliance; Change Management; Communication; Problem Solving; Critical Thinking; Analytical Thinking; Business Acumen; Process Optimization; Leadership,Bachelor's Degree; Engineering; Other,Salesforce; Jira; Confluence,20250822_143048_DataPM_result_batch_4.csv,9
